_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score Two Meas.,County Score Color,Previous Positivity,Difference in Positivity
67,Putnam,18133,29,77.1769214400000009845825843513011932373046875,1,0.045319192000000001196990950802501174621284008026123046875,0,0.5,Blue (0 and 0.5),0.04012538599999999899825553484333795495331287384033203125,0.51938059999999997007336105525610037147998809814453125
68,Randolph,18135,10,40.54327994999999873471097089350223541259765625,1,0.00947547900000000019316015453796353540383279323577880859375,0,0.5,Blue (0 and 0.5),0.02759018800000000160022040063267922960221767425537109375,-1.811470799999999936602534944540821015834808349609375
69,Ripley,18137,13,45.89747211000000248759533860720694065093994140625,1,0.0307476430000000015840821987467279541306197643280029296875,0,0.5,Blue (0 and 0.5),0.00491889099999999988843679687988696969114243984222412109375,2.582875200000000148747858474962413311004638671875
70,Rush,18139,5,30.154996679999999997789927874691784381866455078125,1,0.015808308000000000081985973565679159946739673614501953125,0,0.5,Blue (0 and 0.5),0.038412357000000001139294880658781039528548717498779296875,-2.26040490000000016124204194056801497936248779296875
71,St. Joseph,18141,342,125.8157791999999943755028652958571910858154296875,2,0.030708393000000000494509322379599325358867645263671875,0,1,Yellow (1 and 1.5),0.036932629000000001540104932473695953376591205596923828125,-0.62242359999999996578168293126509524881839752197265625
72,Scott,18143,13,54.4548234399999984134410624392330646514892578125,1,0.06036368899999999815264573044260032474994659423828125,1,1,Yellow (1 and 1.5),0.050989214999999997457447165061239502392709255218505859375,0.93744740000000004176428092250716872513294219970703125
73,Shelby,18145,18,40.24234837000000197804183699190616607666015625,1,0.03217335600000000017661960782788810320198535919189453125,0,0.5,Blue (0 and 0.5),0.034411828999999997946712682050929288379848003387451171875,-0.2238472999999999990539123473354266025125980377197265625
74,Spencer,18147,32,157.814272299999998949715518392622470855712890625,2,0.03529632900000000128581945091355009935796260833740234375,0,1,Yellow (1 and 1.5),0.0345633880000000004439897338670562021434307098388671875,0.0732941000000000009162448577626491896808147430419921875
75,Starke,18149,27,117.4168296999999938634573481976985931396484375,2,0.031317330999999996865579277027791249565780162811279296875,0,1,Yellow (1 and 1.5),0.01369919200000000066019811839623798732645809650421142578125,1.7618139000000001548329464640119113028049468994140625
76,Steuben,18151,32,92.501589870000003656969056464731693267822265625,1,0.0704480190000000006111946504461229778826236724853515625,1,1,Yellow (1 and 1.5),0.04761142200000000046511416940120398066937923431396484375,2.283659699999999848074594410718418657779693603515625
77,Sullivan,18153,10,48.38163432999999713501892983913421630859375,1,0.0163089759999999993345110027576083666644990444183349609375,0,0.5,Blue (0 and 0.5),0.12387784200000000189856308452363009564578533172607421875,-10.7568865999999996319047568249516189098358154296875
78,Switzerland,18155,3,27.90438098999999994020981830544769763946533203125,1,0.0191326529999999994657855495461262762546539306640625,0,0.5,Blue (0 and 0.5),0.017857142999999998933535749756629229523241519927978515625,0.1275509999999999977138287476918776519596576690673828125
79,Tippecanoe,18157,214,109.3331697999999931880665826611220836639404296875,2,0.028829369000000000522465626318080467171967029571533203125,0,1,Yellow (1 and 1.5),0.03882211700000000320631698969009448774158954620361328125,-0.99927479999999990756265333402552641928195953369140625
80,Tipton,18159,3,19.804594670000000178333721123635768890380859375,1,0.0184579729999999990475156863567463005892932415008544921875,0,0.5,Blue (0 and 0.5),0.066084313000000005633438604490947909653186798095703125,-4.76263389999999997570512277889065444469451904296875
81,Union,18161,2,28.35270768000000174424712895415723323822021484375,1,0.01298701300000000037615510706245913752354681491851806640625,0,0.5,Blue (0 and 0.5),0.07619463899999999456635890737743466161191463470458984375,-6.3207626000000001198486643261276185512542724609375
82,Vanderburgh,18163,330,181.86728099999999130886862985789775848388671875,2,0.03179669200000000139905154128427966497838497161865234375,0,1,Yellow (1 and 1.5),0.03120156500000000054928506187934544868767261505126953125,0.059512799999999997646593641320578171871602535247802734375
83,Vermillion,18165,7,45.1671183400000018082209862768650054931640625,1,0.06478733500000000145035983223351649940013885498046875,1,1,Yellow (1 and 1.5),0.0920100729999999977781754978423123247921466827392578125,-2.722273799999999965848473948426544666290283203125
84,Vigo,18167,105,98.096003289999998742132447659969329833984375,1,0.046144024999999998237765197472981526516377925872802734375,0,0.5,Blue (0 and 0.5),0.094758428000000005653191692545078694820404052734375,-4.861440200000000544378053746186196804046630859375
85,Wabash,18169,12,38.71467286000000029844159143976867198944091796875,1,0.01485259700000000036845815287733785226009786128997802734375,0,0.5,Blue (0 and 0.5),0.03555693699999999679572937338889460079371929168701171875,-2.070434000000000107633013612939976155757904052734375
86,Warren,18171,2,24.198427099999999967394614941440522670745849609375,1,0,0,0.5,Blue (0 and 0.5),0,0
87,Warrick,18173,182,288.898060299999997369013726711273193359375,3,0.043077253000000002847169611186473048292100429534912109375,0,1.5,Yellow (1 and 1.5),0.053712213000000001705824814735024119727313518524169921875,-1.0634959999999999968878228173707611858844757080078125
88,Washington,18175,14,49.9357968300000010231087799184024333953857421875,1,0.0314089270000000031490827723246184177696704864501953125,0,0.5,Blue (0 and 0.5),0.0176686059999999998948450041780233732424676418304443359375,1.37403209999999997847908161929808557033538818359375
89,Wayne,18177,32,48.57021431999999805384504725225269794464111328125,1,0.0283705180000000008189164901750700664706528186798095703125,0,0.5,Blue (0 and 0.5),0.074253143999999993152272281804471276700496673583984375,-4.58826260000000019090293790213763713836669921875
90,Wells,18179,13,45.94288945000000268237272393889725208282470703125,1,0.045558487000000001676536243166992790065705776214599609375,0,0.5,Blue (0 and 0.5),0.0208754210000000016422827542328377603553235530853271484375,2.4683066000000000173031367012299597263336181640625
91,White,18181,14,58.08646585000000328591340803541243076324462890625,1,0.039308843000000003031768613936947076581418514251708984375,0,0.5,Blue (0 and 0.5),0.0161351599999999990864285592806481872685253620147705078125,2.3173683000000000475893102702684700489044189453125
92,Whitley,18183,18,52.9972912500000035151970223523676395416259765625,1,0.048914006000000002927219355797205935232341289520263671875,0,0.5,Blue (0 and 0.5),0.034240502999999998523517064086263417266309261322021484375,1.4673502999999998852587168585159815847873687744140625
