_id,COUNTY_NAME,GENDER,AGE_GRP,EVENT_DATE,COVID_COUNT
460,ALLEN,F,80+,2020-05-12T00:00:00,1
461,ALLEN,F,80+,2020-05-14T00:00:00,1
462,ALLEN,F,80+,2020-05-16T00:00:00,2
463,ALLEN,F,80+,2020-05-17T00:00:00,1
464,ALLEN,F,80+,2020-05-18T00:00:00,1
465,ALLEN,F,80+,2020-05-19T00:00:00,1
466,ALLEN,F,80+,2020-05-22T00:00:00,2
467,ALLEN,F,80+,2020-05-23T00:00:00,1
468,ALLEN,F,80+,2020-05-25T00:00:00,1
469,ALLEN,F,80+,2020-05-26T00:00:00,2
470,ALLEN,F,80+,2020-05-27T00:00:00,2
471,ALLEN,F,80+,2020-05-28T00:00:00,1
472,ALLEN,F,80+,2020-05-31T00:00:00,6
473,ALLEN,F,80+,2020-06-01T00:00:00,3
474,ALLEN,F,80+,2020-06-02T00:00:00,1
